"2022","city","country","latitude","longitude"
11490,"La Carlota","Argentina",-33.4199,-63.2977
11369,"Humahuaca","Argentina",-23.2054,-65.3505
11317,"Las Parejas","Argentina",-32.6848,-61.5164
11181,"Armstrong","Argentina",-32.7822,-61.6022
11174,"San Clemente del Tuyu","Argentina",-36.3569,-56.7235
11159,"Merlo","Argentina",-32.3429,-65.014
11137,"San Jose de Feliciano","Argentina",-30.3845,-58.7517
11101,"San Bernardo","Argentina",-27.2878,-60.7125
11039,"Candelaria","Argentina",-27.4595,-55.7454
10959,"Quimili","Argentina",-27.6462,-62.4165
10889,"Bernardo de Irigoyen","Argentina",-26.2552,-53.6458
10871,"El Trebol","Argentina",-32.2008,-61.7014
10743,"Campo Largo","Argentina",-26.8008,-60.8422
10592,"Junin de los Andes","Argentina",-39.9504,-71.0694
10534,"Almafuerte","Argentina",-32.193,-64.2556
10486,"Hernando","Argentina",-32.4266,-63.7333
10470,"Corzuela","Argentina",-26.9537,-60.9693
10465,"San Carlos Centro","Argentina",-31.7286,-61.0919
10357,"Ingeniero Guillermo N. Juarez","Argentina",-23.9,-61.85
10354,"Las Lomitas","Argentina",-24.7096,-60.593
10351,"General Cabrera","Argentina",-32.8131,-63.8724
10243,"El Quebrachal","Argentina",-25.2833,-64.0667
10237,"Puerto Deseado","Argentina",-47.7503,-65.8938
10221,"Calchaqui","Argentina",-29.8877,-60.287
10140,"San Martin","Argentina",-31.4296,-68.5006
10088,"Campo Ramon","Argentina",-27.4549,-55.0212
10067,"La Leonesa","Argentina",-27.0379,-58.7035
9971,"Leones","Argentina",-32.6617,-62.2968
9882,"Corral de Bustos","Argentina",-33.2821,-62.1846
9861,"Eduardo Castex","Argentina",-35.915,-64.2945
9791,"Choele Choel","Argentina",-39.2894,-65.6606
9780,"El Carril","Argentina",-25.0741,-65.4917
9767,"Puerto Tirol","Argentina",-27.3722,-59.0821
9680,"Justo Daract","Argentina",-33.8594,-65.1828
9587,"Totoras","Argentina",-32.5844,-61.1685
9504,"Santa Rosa de Calamuchita","Argentina",-32.069,-64.5363
9425,"Abra Pampa","Argentina",-22.7205,-65.697
9364,"Malagueno","Argentina",-31.4647,-64.3584
9334,"Villa Elisa","Argentina",-32.1632,-58.4008
9328,"Villa Canas","Argentina",-34.0056,-61.6076
9303,"Las Heras","Argentina",-46.5419,-68.9359
9228,"Campo Viera","Argentina",-27.3327,-55.0565
9151,"Las Lajitas","Argentina",-24.7276,-64.1934
9140,"Coronel Du Graty","Argentina",-27.6804,-60.9146
9085,"Capilla del Monte","Argentina",-30.8609,-64.5251
9043,"Clodomira","Argentina",-27.5744,-64.1311
9040,"Santa Sylvina","Argentina",-27.8326,-61.1375
9012,"Mburucuya","Argentina",-28.0453,-58.2284
8994,"Vicuna Mackenna","Argentina",-33.9197,-64.3922
8939,"Viale","Argentina",-31.8678,-60.0072
8687,"Ibarreta","Argentina",-25.2144,-59.8585
8637,"Huinca Renanco","Argentina",-34.8404,-64.3758
8628,"Malvinas Argentinas","Argentina",-31.3819,-64.0555
8614,"General Ramirez","Argentina",-32.176,-60.2008
8595,"Apolinario Saravia","Argentina",-24.4328,-63.9953
8591,"La Cruz","Argentina",-29.1744,-56.6433
8557,"Puerto Piray","Argentina",-26.4694,-54.7074
8470,"Taco Pozo","Argentina",-25.6156,-63.2671
8468,"Chicoana","Argentina",-25.105,-65.5347
8455,"Puerto Vilelas","Argentina",-27.5141,-58.9391
8407,"Colonia Aurora","Argentina",-27.4743,-54.525
8357,"El Galpon","Argentina",-25.3807,-64.6526
8343,"Canals","Argentina",-33.5654,-62.8893
8330,"Santa Rosa","Argentina",-28.2632,-58.1189
8292,"Sarmiento","Argentina",-45.5882,-69.07
8259,"Garuhape","Argentina",-26.8177,-54.9566
8237,"Brinkmann","Argentina",-30.8659,-62.0374
8176,"Pampa del Infierno","Argentina",-26.5052,-61.1744
8176,"Calingasta","Argentina",-31.3339,-69.4208
8104,"Coronel Moldes","Argentina",-33.6227,-64.5971
8061,"Fiambala","Argentina",-27.6723,-67.6187
8000,"El Calafate","Argentina",-50.3408,-72.2768
7992,"Urdinarrain","Argentina",-32.6857,-58.8932
7977,"Bovril","Argentina",-31.3431,-59.4451
